pdate,menu_id,A,B,A_rate,B_rate
2022-10-20,1,28.0,27.0,0.6363636363636364,0.54
2022-10-20,2,9.0,13.0,0.20454545454545456,0.26
2022-10-20,3,3.0,2.0,0.06818181818181818,0.04
2022-10-20,4,3.0,4.0,0.06818181818181818,0.08
2022-10-20,5,0.0,1.0,0.0,0.02
2022-10-20,6,0.0,1.0,0.0,0.02
2022-10-20,7,0.0,1.0,0.0,0.02
2022-10-20,9,0.0,1.0,0.0,0.02
2022-10-20,11,1.0,0.0,0.022727272727272728,0.0
2022-10-21,1,17.0,19.0,0.5151515151515151,0.5
2022-10-21,2,7.0,14.0,0.21212121212121213,0.3684210526315789
2022-10-21,3,4.0,3.0,0.12121212121212122,0.07894736842105263
2022-10-21,4,2.0,2.0,0.06060606060606061,0.05263157894736842
2022-10-21,5,1.0,0.0,0.030303030303030304,0.0
2022-10-21,7,1.0,0.0,0.030303030303030304,0.0
2022-10-21,9,1.0,0.0,0.030303030303030304,0.0
2022-10-22,1,39.0,32.0,0.6964285714285714,0.5714285714285714
2022-10-22,2,12.0,13.0,0.21428571428571427,0.23214285714285715
2022-10-22,3,3.0,4.0,0.05357142857142857,0.07142857142857142
2022-10-22,4,0.0,2.0,0.0,0.03571428571428571
2022-10-22,5,1.0,2.0,0.017857142857142856,0.03571428571428571
2022-10-22,6,1.0,0.0,0.017857142857142856,0.0
2022-10-22,7,0.0,1.0,0.0,0.017857142857142856
2022-10-22,8,0.0,1.0,0.0,0.017857142857142856
2022-10-22,9,0.0,1.0,0.0,0.017857142857142856
2022-10-23,1,36.0,31.0,0.7659574468085106,0.6458333333333334
2022-10-23,2,7.0,5.0,0.14893617021276595,0.10416666666666667
2022-10-23,3,3.0,5.0,0.06382978723404255,0.10416666666666667
2022-10-23,4,0.0,5.0,0.0,0.10416666666666667
2022-10-23,5,0.0,1.0,0.0,0.020833333333333332
2022-10-23,6,0.0,1.0,0.0,0.020833333333333332
2022-10-23,8,1.0,0.0,0.02127659574468085,0.0
2022-10-24,1,33.0,37.0,0.66,0.5967741935483871
2022-10-24,2,9.0,13.0,0.18,0.20967741935483872
2022-10-24,3,3.0,4.0,0.06,0.06451612903225806
2022-10-24,4,4.0,4.0,0.08,0.06451612903225806
2022-10-24,5,0.0,2.0,0.0,0.03225806451612903
2022-10-24,6,0.0,1.0,0.0,0.016129032258064516
2022-10-24,9,1.0,1.0,0.02,0.016129032258064516
2022-10-25,1,27.0,33.0,0.6923076923076923,0.6346153846153846
2022-10-25,2,6.0,9.0,0.15384615384615385,0.17307692307692307
2022-10-25,3,4.0,7.0,0.10256410256410256,0.1346153846153846
2022-10-25,4,0.0,2.0,0.0,0.038461538461538464
2022-10-25,5,1.0,0.0,0.02564102564102564,0.0
2022-10-25,6,1.0,0.0,0.02564102564102564,0.0
2022-10-25,7,0.0,1.0,0.0,0.019230769230769232
2022-10-26,1,21.0,40.0,0.7241379310344828,0.7142857142857143
2022-10-26,2,5.0,9.0,0.1724137931034483,0.16071428571428573
2022-10-26,3,2.0,2.0,0.06896551724137931,0.03571428571428571
2022-10-26,4,1.0,3.0,0.034482758620689655,0.05357142857142857
2022-10-26,5,0.0,1.0,0.0,0.017857142857142856
2022-10-26,6,0.0,1.0,0.0,0.017857142857142856
2022-10-27,1,21.0,40.0,0.65625,0.6896551724137931
2022-10-27,2,6.0,12.0,0.1875,0.20689655172413793
2022-10-27,3,1.0,4.0,0.03125,0.06896551724137931
2022-10-27,4,2.0,1.0,0.0625,0.017241379310344827
2022-10-27,6,2.0,1.0,0.0625,0.017241379310344827
2022-10-28,1,20.0,29.0,0.5882352941176471,0.6444444444444445
2022-10-28,2,9.0,10.0,0.2647058823529412,0.2222222222222222
2022-10-28,3,3.0,4.0,0.08823529411764706,0.08888888888888889
2022-10-28,4,0.0,1.0,0.0,0.022222222222222223
2022-10-28,5,1.0,0.0,0.029411764705882353,0.0
2022-10-28,6,0.0,1.0,0.0,0.022222222222222223
2022-10-28,7,1.0,0.0,0.029411764705882353,0.0
2022-10-29,1,30.0,27.0,0.7142857142857143,0.6136363636363636
2022-10-29,2,7.0,9.0,0.16666666666666666,0.20454545454545456
2022-10-29,3,3.0,4.0,0.07142857142857142,0.09090909090909091
2022-10-29,4,1.0,2.0,0.023809523809523808,0.045454545454545456
2022-10-29,5,1.0,1.0,0.023809523809523808,0.022727272727272728
2022-10-29,6,0.0,1.0,0.0,0.022727272727272728
2022-10-30,1,19.0,31.0,0.5428571428571428,0.6595744680851063
2022-10-30,2,7.0,10.0,0.2,0.2127659574468085
2022-10-30,3,6.0,3.0,0.17142857142857143,0.06382978723404255
2022-10-30,4,1.0,2.0,0.02857142857142857,0.0425531914893617
2022-10-30,6,2.0,0.0,0.05714285714285714,0.0
2022-10-30,8,0.0,1.0,0.0,0.02127659574468085
2022-10-31,1,22.0,20.0,0.6875,0.6060606060606061
2022-10-31,2,4.0,9.0,0.125,0.2727272727272727
2022-10-31,3,4.0,1.0,0.125,0.030303030303030304
2022-10-31,4,2.0,3.0,0.0625,0.09090909090909091
2022-11-01,1,29.0,22.0,0.5686274509803921,0.5641025641025641
2022-11-01,2,10.0,9.0,0.19607843137254902,0.23076923076923078
2022-11-01,3,8.0,3.0,0.1568627450980392,0.07692307692307693
2022-11-01,4,2.0,2.0,0.0392156862745098,0.05128205128205128
2022-11-01,5,1.0,1.0,0.0196078431372549,0.02564102564102564
2022-11-01,6,1.0,1.0,0.0196078431372549,0.02564102564102564
2022-11-01,19,0.0,1.0,0.0,0.02564102564102564
2022-11-02,1,33.0,29.0,0.6226415094339622,0.6170212765957447
2022-11-02,2,10.0,10.0,0.18867924528301888,0.2127659574468085
2022-11-02,3,6.0,4.0,0.11320754716981132,0.0851063829787234
2022-11-02,4,3.0,2.0,0.05660377358490566,0.0425531914893617
2022-11-02,5,1.0,1.0,0.018867924528301886,0.02127659574468085
2022-11-02,6,0.0,1.0,0.0,0.02127659574468085
2022-11-03,1,45.0,44.0,0.6617647058823529,0.7333333333333333
2022-11-03,2,11.0,10.0,0.16176470588235295,0.16666666666666666
2022-11-03,3,5.0,3.0,0.07352941176470588,0.05
2022-11-03,4,2.0,2.0,0.029411764705882353,0.03333333333333333
2022-11-03,5,3.0,0.0,0.04411764705882353,0.0
2022-11-03,7,1.0,0.0,0.014705882352941176,0.0
2022-11-03,8,0.0,1.0,0.0,0.016666666666666666
2022-11-03,9,1.0,0.0,0.014705882352941176,0.0
2022-11-04,1,46.0,33.0,0.5609756097560976,0.5789473684210527
2022-11-04,2,23.0,13.0,0.2804878048780488,0.22807017543859648
2022-11-04,3,5.0,6.0,0.06097560975609756,0.10526315789473684
2022-11-04,4,6.0,1.0,0.07317073170731707,0.017543859649122806
2022-11-04,5,1.0,1.0,0.012195121951219513,0.017543859649122806
2022-11-04,6,1.0,0.0,0.012195121951219513,0.0
2022-11-04,7,0.0,2.0,0.0,0.03508771929824561
2022-11-04,10,0.0,1.0,0.0,0.017543859649122806
2022-11-05,1,48.0,41.0,0.5783132530120482,0.5540540540540541
2022-11-05,2,18.0,21.0,0.21686746987951808,0.28378378378378377
2022-11-05,3,12.0,6.0,0.14457831325301204,0.08108108108108109
2022-11-05,4,3.0,2.0,0.03614457831325301,0.02702702702702703
2022-11-05,7,1.0,1.0,0.012048192771084338,0.013513513513513514
2022-11-05,8,0.0,2.0,0.0,0.02702702702702703
2022-11-05,9,0.0,1.0,0.0,0.013513513513513514
2022-11-05,13,1.0,0.0,0.012048192771084338,0.0
2022-11-06,1,34.0,40.0,0.5074626865671642,0.5797101449275363
2022-11-06,2,21.0,15.0,0.31343283582089554,0.21739130434782608
2022-11-06,3,10.0,9.0,0.14925373134328357,0.13043478260869565
2022-11-06,4,0.0,3.0,0.0,0.043478260869565216
2022-11-06,5,1.0,1.0,0.014925373134328358,0.014492753623188406
2022-11-06,6,0.0,1.0,0.0,0.014492753623188406
2022-11-06,12,1.0,0.0,0.014925373134328358,0.0
2022-11-07,1,47.0,40.0,0.6351351351351351,0.6896551724137931
2022-11-07,2,14.0,14.0,0.1891891891891892,0.2413793103448276
2022-11-07,3,8.0,1.0,0.10810810810810811,0.017241379310344827
2022-11-07,4,3.0,0.0,0.04054054054054054,0.0
2022-11-07,5,2.0,2.0,0.02702702702702703,0.034482758620689655
2022-11-07,8,0.0,1.0,0.0,0.017241379310344827
